run_name,model,prompt_version,temperature,seed,n_comments,jsd_stance,wasserstein_time,mmd_semantic,grounded_pct,weakly_grounded_pct,ungrounded_pct,elapsed_s
finalist_qwen_qwen2_5_3b_instruct_P0_V0_t0.5_s123,Qwen/Qwen2.5-3B-Instruct,P0_V0,0.5,123,108,0.2841914586303014,3.127132750728256,0.22506205998754036,0.0,33.3,66.7,143.0
finalist_qwen_qwen2_5_3b_instruct_P0_V0_t0.9_s123,Qwen/Qwen2.5-3B-Instruct,P0_V0,0.9,123,108,0.2841914586303014,3.127132750728256,0.22506205998754036,0.0,33.3,66.7,111.1
finalist_qwen_qwen2_5_3b_instruct_P0_V0_t1.1_s123,Qwen/Qwen2.5-3B-Instruct,P0_V0,1.1,123,108,0.2841914586303014,3.127132750728256,0.22506205998754036,0.0,33.3,66.7,106.1
finalist_qwen_qwen2_5_3b_instruct_P0_V0_t0.5_s42,Qwen/Qwen2.5-3B-Instruct,P0_V0,0.5,42,108,0.2841914586303014,3.059612983770288,0.22509853318584705,0.0,33.3,66.7,160.0
finalist_qwen_qwen2_5_3b_instruct_P0_V0_t0.9_s42,Qwen/Qwen2.5-3B-Instruct,P0_V0,0.9,42,108,0.2841914586303014,3.059612983770288,0.22509853318584705,0.0,33.3,66.7,134.1
finalist_qwen_qwen2_5_3b_instruct_P0_V0_t1.1_s42,Qwen/Qwen2.5-3B-Instruct,P0_V0,1.1,42,108,0.2841914586303014,3.059612983770288,0.22509853318584705,0.0,33.3,66.7,107.7
finalist_qwen_qwen3_5_2b_P2_V1_t0.5_s123,Qwen/Qwen3.5-2B,P2_V1,0.5,123,108,0.44816315737888884,3.127132750728256,0.3015178790715549,0.0,0.0,100.0,139.5
finalist_qwen_qwen3_5_2b_P2_V1_t0.7_s123,Qwen/Qwen3.5-2B,P2_V1,0.7,123,108,0.44816315737888884,3.127132750728256,0.3015178790715549,0.0,0.0,100.0,119.9
finalist_qwen_qwen3_5_2b_P2_V1_t0.9_s123,Qwen/Qwen3.5-2B,P2_V1,0.9,123,108,0.44816315737888884,3.127132750728256,0.3015178790715549,0.0,0.0,100.0,147.1
finalist_qwen_qwen3_5_2b_P2_V1_t0.5_s42,Qwen/Qwen3.5-2B,P2_V1,0.5,42,108,0.44816315737888884,3.059612983770288,0.30155158594128917,0.0,0.0,100.0,182.8
finalist_qwen_qwen3_5_2b_P2_V1_t0.7_s42,Qwen/Qwen3.5-2B,P2_V1,0.7,42,108,0.44816315737888884,3.059612983770288,0.30155158594128917,0.0,0.0,100.0,114.4
finalist_qwen_qwen3_5_2b_P2_V1_t0.9_s42,Qwen/Qwen3.5-2B,P2_V1,0.9,42,108,0.44816315737888884,3.059612983770288,0.30155158594128917,0.0,0.0,100.0,134.8
finalist_qwen_qwen3_5_2b_P2_V1_t1.1_s42,Qwen/Qwen3.5-2B,P2_V1,1.1,42,108,0.44816315737888884,3.059612983770288,error: [Errno 22] Invalid argument,0.0,0.0,100.0,0.5
finalist_qwen_qwen3_5_2b_P2_V1_t1.1_s123,Qwen/Qwen3.5-2B,P2_V1,1.1,123,108,0.44816315737888884,3.127132750728256,error: [Errno 22] Invalid argument,0.0,0.0,100.0,0.1
